Ticker,Name,Volume,Price,Change
ABBEYBDS,Abbey Mortgage Bank Plc,10300.0,1.68,0.0
ABCTRANS,Associated Bus Company,13214.0,0.38,0.0
ACADEMY,Academy Press,22000.0,1.27,0.0
ACCESSCORP,Access Holdings Plc,9383545.0,9.15,-0.15
AFRINSURE,African Alliance Insurance,,0.2,
AFRIPRUD,Africa Prudential Plc,837296.0,6.2,0.0
AFROMEDIA,Afromedia Plc,,0.2,
AIICO,Aiico Insurance Plc,1590473.0,0.61,0.0
AIRTELAFRI,Airtel Africa Plc,1441.0,1548.7,0.0
ALEX,Aluminium Extrusion Industries,,6.5,
ARBICO,Arbico Plc,,1.03,
ARDOVA,Ardova Plc,14496.0,18.55,0.0
ASOSAVINGS,Aso Savings & Loans,,0.5,
AUSTINLAZ,Austin Laz & Company,,2.03,
BAPLC,Briclinks Africa Plc,,6.25,
BERGER,Berger Paints,120230.0,7.0,0.0
BETAGLAS,Beta Glass Company,33490.0,39.6,0.0
BUACEMENT,BUA Cement Plc,74620.0,99.45,0.0
BUAFOODS,BUA Foods,27521.0,95.0,0.0
CADBURY,Cadbury Nigeria,89192.0,12.0,0.0
CAP,CAP Plc,197841.0,20.2,0.0
CAPHOTEL,Capital Hotel Plc,5610.0,2.5,0.0
CAPOIL,Capital Oil Plc,,0.2,
CAVERTON,Caverton Offshore Support Group,1684820.0,1.14,0.1
CHAMPION,Champion Breweries,58466.0,4.87,0.0
CHAMS,Chams Plc,2239181.0,0.27,0.01
CHELLARAM,Chellarams Plc,,1.81,
CHIPLC,Consolidated Hallmark Insurance,2060550.0,0.64,-0.02
CILEASING,C&I Leasing Plc,,3.98,
CONOIL,Conoil Plc,121537.0,46.85,0.0
CORNERST,Cornerstone Insurance Company,81933.0,0.63,0.0
COURTVILLE,Courteville Business Solutions,14200.0,0.46,0.0
CUSTODIAN,Custodian & Allied Plc,362930.0,5.7,-0.1
CUTIX,Cutix Plc,1719268.0,2.0,-0.2
CWG,Computer Warehouse Group,39747.0,0.91,0.0
DAARCOMM,Daar Communications,,0.2,
DANGCEM,Dangote Cement,1205762.0,280.0,2.0
DANGSUGAR,Dangote Sugar Refinery,3884837.0,19.25,-0.05
DEAPCAP,Deap Capital Management & Trust,,0.2,
DUNLOP,DN Tyre & Rubber Plc,,0.2,
EKOCORP,Ekocorp Plc,,5.79,
ELLAHLAKES,Ellah Lakes Plc,,3.96,
ENAMELWA,Nigerian Enamelware Plc,14290.0,16.2,0.0
ETERNA,Eterna Plc,88295.0,7.2,0.0
ETI,Ecobank Transnational Inc,291656.0,12.0,0.0
ETRANZACT,E-Tranzact International,6625.0,3.6,0.0
EUNISELL,Eunisell Interlinked Plc,,2.91,
FBNH,FBN Holdings Plc,1756847.0,11.2,-0.3
FCMB,FCMB Group Plc,660327.0,4.45,0.15
FIDELITYBK,Fidelity Bank Plc,10224620.0,5.2,0.06
FIDSON,Fidson Healthcare,509389.0,9.84,0.0
FLOURMILL,Flour Mills Nigeria,401984.0,32.95,0.0
FTNCOCOA,FTN Cocoa Processors,5453818.0,0.26,-0.02
GEREGU,Geregu Power Plc,45487.0,325.0,0.0
GLAXOSMITH,Glaxo Smithkline Consumer,224433.0,6.7,0.0
GOLDBREW,Golden Guinea Breweries,,0.81,
GOLDINSURE,Goldlink Insurance,,0.2,
GSPECPLC,Global Spectrum Energy Plc,200.0,2.48,0.0
GTCO,Guaranty Trust Holding,11871070.0,26.2,-0.1
GUINEAINS,Guinea Insurance,,0.2,
GUINNESS,Guinness Nigeria,408822.0,69.0,0.0
HONYFLOUR,Honeywell Flour Mill,2357914.0,2.19,-0.15
IKEJAHOTEL,Ikeja Hotel Plc,,1.26,
IMG,Industrial & Medical Gases,77808.0,8.05,0.0
INFINITY,Infinity Trust Mortgage Bank,,1.28,
INTBREW,International Breweries,1293656.0,4.85,0.0
INTENEGINS,International Energy Insurance,34433.0,1.3,0.0
JAIZBANK,Jaiz Bank Plc,1455231.0,0.9,0.0
JAPAULGOLD,Japaul Gold and Ventures Plc,3992431.0,0.28,0.0
JBERGER,Julius Berger Nigeria Plc,5875747.0,26.95,0.0
JOHNHOLT,John Holt Plc,2025.0,1.59,0.0
JULI,Juli Plc,,0.79,
LASACO,Lasaco Assurance,712335.0,1.0,0.0
LEARNAFRCA,Learn Africa,42942.0,2.2,0.0
LINKASSURE,Linkage Assurance,30045.0,0.45,0.0
LIVESTOCK,Livestock Feeds,65532.0,1.12,0.0
LIVINGTRUST,LivingTrust Mortgage Bank,120000.0,2.85,0.0
MANSARD,AXA Mansard Insurance,2340206.0,2.09,0.09
MAYBAKER,May & Baker Nigeria,1153667.0,4.5,0.0
MBENEFIT,Mutual Benefits Assurance,1095116.0,0.32,-0.01
MCNICHOLS,McNichols Plc,11170.0,0.79,0.0
MEDVIEWAIR,Medview Airline Plc,,1.62,
MEYER,Meyer Plc,6000.0,2.21,0.0
MORISON,Morison Industries,7400.0,2.17,0.0
MRS,MRS Oil Nigeria,130630.0,31.05,-3.45
MTNN,MTN Nigeria,360674.0,248.0,0.0
MULTITREX,Multi-Trex Integrated Foods,,0.36,
MULTIVERSE,Multiverse Mining & Exploration,352993.0,3.57,-0.39
NAHCO,Nigerian Aviation Handling Co.,4202479.0,8.55,0.0
NASCON,National Salt Company,327235.0,12.2,0.0
NB,Nigerian Breweries,484863.0,40.85,0.0
NCR,NCR Nigeria,125600.0,2.92,-0.32
NEIMETH,Neimeth International Pharma,1452.0,1.58,0.0
NEM,N.E.M. Insurance Company,37192.0,4.1,0.0
NESF,Nigeria Energy Sector Fund,,552.2,
NESTLE,Nestle Nigeria,134225.0,1080.3,0.0
NGXGROUP,Nigerian Exchange Group,1036682.0,26.5,0.0
NIGERINS,Niger Insurance Company,,0.2,
NNFM,Northern Nigeria Flour Mills,8820.0,11.0,0.0
NOTORE,Notore Chemical Industries Plc,,62.5,
NPFMCRFBK,NPF Microfinance Bank,93600.0,1.89,0.0
NSLTECH,Secure Electronic Technology,,0.24,
OANDO,Oando Plc,2927157.0,4.48,0.12
OKOMUOIL,Okomu Oil Palm,200122.0,183.5,0.0
OMATEK,Omatek Ventures,,0.2,
PHARMDEKO,Pharma-Deko Plc,3000.0,1.89,0.0
PREMPAINTS,Premier Paints,,10.0,
PRESCO,Presco Plc,138243.0,150.8,0.0
PRESTIGE,Prestige Assurance Company,37092.0,0.45,0.0
PZ,PZ Cussons Nigeria,425545.0,10.75,0.0
RAKUNITY,RAK Unity Petroleum Company,,0.3,
REDSTAREX,Red Star Express Plc,103310.0,2.77,0.0
REGALINS,Regency Alliance Insurance,230355.0,0.3,0.0
RESORTSAL,Resort Savings & Loans,,0.2,
RONCHESS,Ronchess Global Resources,,81.0,
ROYALEX,Royal Exchange,1290110.0,0.75,-0.03
RTBRISCOE,RT Briscoe,1262090.0,0.26,-0.02
SCOA,SCOA Nigeria,7257.0,1.0,0.0
SEPLAT,Seplat Petroleum Development Co.,5549.0,1200.0,0.0
SFSREIT,Skye Shelter Fund Plc,100.0,77.0,0.0
SKYAVN,Skyway Aviation Handling Co. Plc,,5.0,
SMURFIT,Smart Products Nigeria,,0.22,
SOVRENINS,Sovereign Trust Insurance,25000.0,0.28,0.0
STACO,Standard Trust Assurance,,0.48,
STANBIC,Stanbic IBTC Holdings,1727416.0,41.0,0.0
STDINSURE,Standard Alliance Insurance,,0.2,
STERLNBANK,Sterling Bank,3989133.0,1.5,-0.04
SUNUASSUR,Sunu Assurances Nigeria Plc,18260.0,0.44,0.0
TANTALIZER,Tantalizers Plc,4000.0,0.2,0.0
THOMASWY,Thomas Wyatt Nigeria,17789.0,1.3,0.0
TIP,The Initiates Plc,,0.52,
TOTAL,Total Nigeria,40523.0,218.8,0.0
TOURIST,Tourist Company of Nigeria,,2.84,
TRANSCOHOT,Transcorp Hotels Plc,2753.0,6.5,0.0
TRANSCORP,Transcorp Nigeria,14420135.0,1.27,0.0
TRANSEXPR,Trans-Nationwide Express,,0.81,
TRIPPLEG,Tripple Gee & Co. Plc,101642.0,2.62,0.0
UACN,UAC of Nigeria,1512418.0,9.2,0.65
UBA,United Bank for Africa,11141263.0,8.55,-0.15
UBN,Union Bank Nigeria,28668.0,6.6,0.0
UCAP,United Capital Plc,2468513.0,14.9,0.1
UHOMREIT,Union Homes Real Estate Inv.,,36.6,
UNHOMES,Union Homes Savings & Loans,,3.02,
UNILEVER,Unilever Nigeria,104747.0,13.8,0.0
UNIONDICON,Union Dicon Salt,,8.95,
UNITYBNK,Unity Bank,2288310.0,0.54,-0.05
UNIVINSURE,Universal Insurance Company,,0.2,
UPDC,UPDC Plc,468220.0,1.05,0.0
UPDCREIT,UPDC Real Estate Investment Trust,318467.0,3.35,0.0
UPL,University Press,66933.0,2.0,0.0
VANLEER,Greif Nigeria,,5.45,
VERITASKAP,Veritas Kapital Assurance Plc,1567749.0,0.2,-0.02
VITAFOAM,Vitafoam Nigeria,2062403.0,19.4,0.0
WAPCO,Lafarge Wapco,9069916.0,26.9,-0.15
WAPIC,Wapic Insurance,1631020.0,0.42,0.02
WEMABANK,Wema Bank,671507.0,4.3,-0.05
ZENITHBANK,Zenith Bank Plc,13261284.0,25.95,-0.35
