Ticker,Name,Volume,Price,Change
ABBEYBDS,Abbey Mortgage Bank Plc,529.0,1.68,0.0
ABCTRANS,Associated Bus Company,509344.0,0.35,-0.03
ACADEMY,Academy Press,52642.0,1.27,0.0
ACCESSCORP,Access Holdings Plc,1876284.0,9.1,-0.05
AFRINSURE,African Alliance Insurance,,0.2,
AFRIPRUD,Africa Prudential Plc,311244.0,6.2,0.0
AFROMEDIA,Afromedia Plc,,0.2,
AIICO,Aiico Insurance Plc,65234.0,0.61,0.0
AIRTELAFRI,Airtel Africa Plc,2838.0,1548.7,0.0
ALEX,Aluminium Extrusion Industries,,6.5,
ARBICO,Arbico Plc,,1.03,
ARDOVA,Ardova Plc,295470.0,17.4,-1.15
ASOSAVINGS,Aso Savings & Loans,,0.5,
AUSTINLAZ,Austin Laz & Company,,2.03,
BAPLC,Briclinks Africa Plc,,6.25,
BERGER,Berger Paints,6175.0,7.0,0.0
BETAGLAS,Beta Glass Company,,39.6,
BUACEMENT,BUA Cement Plc,2218.0,99.45,0.0
BUAFOODS,BUA Foods,30074.0,95.0,0.0
CADBURY,Cadbury Nigeria,41772.0,12.0,0.0
CAP,CAP Plc,24016.0,20.2,0.0
CAPHOTEL,Capital Hotel Plc,300.0,2.5,0.0
CAPOIL,Capital Oil Plc,,0.2,
CAVERTON,Caverton Offshore Support Group,300327.0,1.14,0.0
CHAMPION,Champion Breweries,464839.0,4.78,-0.09
CHAMS,Chams Plc,1034420.0,0.25,-0.02
CHELLARAM,Chellarams Plc,,1.81,
CHIPLC,Consolidated Hallmark Insurance,,0.64,
CILEASING,C&I Leasing Plc,100.0,3.98,0.0
CONOIL,Conoil Plc,4764.0,46.85,0.0
CORNERST,Cornerstone Insurance Company,214850.0,0.65,0.02
COURTVILLE,Courteville Business Solutions,,0.46,
CUSTODIAN,Custodian & Allied Plc,713260.0,5.9,0.2
CUTIX,Cutix Plc,433354.0,2.17,0.17
CWG,Computer Warehouse Group,,0.91,
DAARCOMM,Daar Communications,,0.2,
DANGCEM,Dangote Cement,7068934.0,285.0,5.0
DANGSUGAR,Dangote Sugar Refinery,739523.0,19.2,-0.05
DEAPCAP,Deap Capital Management & Trust,275000.0,0.2,0.0
DUNLOP,DN Tyre & Rubber Plc,,0.2,
EKOCORP,Ekocorp Plc,,5.79,
ELLAHLAKES,Ellah Lakes Plc,215.0,3.96,0.0
ENAMELWA,Nigerian Enamelware Plc,2500.0,16.2,0.0
ETERNA,Eterna Plc,163959.0,7.2,0.0
ETI,Ecobank Transnational Inc,51880.0,12.0,0.0
ETRANZACT,E-Tranzact International,89.0,3.6,0.0
EUNISELL,Eunisell Interlinked Plc,,2.91,
FBNH,FBN Holdings Plc,3658035.0,11.1,-0.1
FCMB,FCMB Group Plc,612414.0,4.31,-0.14
FIDELITYBK,Fidelity Bank Plc,2039041.0,5.13,-0.07
FIDSON,Fidson Healthcare,123895.0,9.84,0.0
FLOURMILL,Flour Mills Nigeria,278350.0,32.95,0.0
FTNCOCOA,FTN Cocoa Processors,213131.0,0.26,0.0
GEREGU,Geregu Power Plc,1552.0,325.0,0.0
GLAXOSMITH,Glaxo Smithkline Consumer,5242.0,6.7,0.0
GOLDBREW,Golden Guinea Breweries,,0.81,
GOLDINSURE,Goldlink Insurance,,0.2,
GSPECPLC,Global Spectrum Energy Plc,,2.48,
GTCO,Guaranty Trust Holding,5036390.0,26.3,0.1
GUINEAINS,Guinea Insurance,205392.0,0.2,0.0
GUINNESS,Guinness Nigeria,16731.0,69.0,0.0
HONYFLOUR,Honeywell Flour Mill,890750.0,2.33,0.14
IKEJAHOTEL,Ikeja Hotel Plc,,1.26,
IMG,Industrial & Medical Gases,1020.0,8.05,0.0
INFINITY,Infinity Trust Mortgage Bank,,1.28,
INTBREW,International Breweries,112286.0,4.85,0.0
INTENEGINS,International Energy Insurance,2000.0,1.3,0.0
JAIZBANK,Jaiz Bank Plc,149972.0,0.9,0.0
JAPAULGOLD,Japaul Gold and Ventures Plc,1417998.0,0.28,0.0
JBERGER,Julius Berger Nigeria Plc,51372.0,26.95,0.0
JOHNHOLT,John Holt Plc,,1.59,
JULI,Juli Plc,900.0,0.79,0.0
LASACO,Lasaco Assurance,1.0,1.0,0.0
LEARNAFRCA,Learn Africa,206001.0,2.2,0.0
LINKASSURE,Linkage Assurance,375251.0,0.47,0.02
LIVESTOCK,Livestock Feeds,180800.0,1.12,0.0
LIVINGTRUST,LivingTrust Mortgage Bank,90000.0,2.85,0.0
MANSARD,AXA Mansard Insurance,54729.0,2.09,0.0
MAYBAKER,May & Baker Nigeria,296872.0,4.4,-0.1
MBENEFIT,Mutual Benefits Assurance,606.0,0.32,0.0
MCNICHOLS,McNichols Plc,2500.0,0.79,0.0
MEDVIEWAIR,Medview Airline Plc,,1.62,
MEYER,Meyer Plc,,2.21,
MORISON,Morison Industries,55611.0,2.17,0.0
MRS,MRS Oil Nigeria,175054.0,27.95,-3.1
MTNN,MTN Nigeria,436247.0,249.5,1.5
MULTITREX,Multi-Trex Integrated Foods,,0.36,
MULTIVERSE,Multiverse Mining & Exploration,20816.0,3.57,0.0
NAHCO,Nigerian Aviation Handling Co.,2354519.0,8.1,-0.45
NASCON,National Salt Company,1057.0,12.2,0.0
NB,Nigerian Breweries,881268.0,40.85,0.0
NCR,NCR Nigeria,,2.92,
NEIMETH,Neimeth International Pharma,1066.0,1.58,0.0
NEM,N.E.M. Insurance Company,88431.0,4.1,0.0
NESF,Nigeria Energy Sector Fund,,552.2,
NESTLE,Nestle Nigeria,24924.0,1080.3,0.0
NGXGROUP,Nigerian Exchange Group,618524.0,28.0,1.5
NIGERINS,Niger Insurance Company,,0.2,
NNFM,Northern Nigeria Flour Mills,48374.0,11.0,0.0
NOTORE,Notore Chemical Industries Plc,,62.5,
NPFMCRFBK,NPF Microfinance Bank,13055.0,1.89,0.0
NSLTECH,Secure Electronic Technology,,0.24,
OANDO,Oando Plc,308033.0,4.48,0.0
OKOMUOIL,Okomu Oil Palm,79090.0,183.5,0.0
OMATEK,Omatek Ventures,275000.0,0.2,0.0
PHARMDEKO,Pharma-Deko Plc,,1.89,
PREMPAINTS,Premier Paints,,10.0,
PRESCO,Presco Plc,220978.0,150.8,0.0
PRESTIGE,Prestige Assurance Company,,0.45,
PZ,PZ Cussons Nigeria,526804.0,10.75,0.0
RAKUNITY,RAK Unity Petroleum Company,,0.3,
REDSTAREX,Red Star Express Plc,,2.77,
REGALINS,Regency Alliance Insurance,,0.3,
RESORTSAL,Resort Savings & Loans,,0.2,
RONCHESS,Ronchess Global Resources,,81.0,
ROYALEX,Royal Exchange,99111.0,0.75,0.0
RTBRISCOE,RT Briscoe,44608.0,0.26,0.0
SCOA,SCOA Nigeria,35700.0,1.0,0.0
SEPLAT,Seplat Petroleum Development Co.,1299.0,1200.0,0.0
SFSREIT,Skye Shelter Fund Plc,1000.0,77.0,0.0
SKYAVN,Skyway Aviation Handling Co. Plc,,5.0,
SMURFIT,Smart Products Nigeria,,0.22,
SOVRENINS,Sovereign Trust Insurance,123450.0,0.29,0.01
STACO,Standard Trust Assurance,,0.48,
STANBIC,Stanbic IBTC Holdings,143252.0,41.0,0.0
STDINSURE,Standard Alliance Insurance,,0.2,
STERLNBANK,Sterling Bank,2990993.0,1.5,0.0
SUNUASSUR,Sunu Assurances Nigeria Plc,10660.0,0.44,0.0
TANTALIZER,Tantalizers Plc,,0.2,
THOMASWY,Thomas Wyatt Nigeria,,1.3,
TIP,The Initiates Plc,,0.52,
TOTAL,Total Nigeria,10427.0,218.8,0.0
TOURIST,Tourist Company of Nigeria,,2.84,
TRANSCOHOT,Transcorp Hotels Plc,4900.0,6.5,0.0
TRANSCORP,Transcorp Nigeria,2732531.0,1.26,-0.01
TRANSEXPR,Trans-Nationwide Express,284037.0,0.89,0.08
TRIPPLEG,Tripple Gee & Co. Plc,76.0,2.62,0.0
UACN,UAC of Nigeria,140401.0,9.2,0.0
UBA,United Bank for Africa,12639448.0,8.4,-0.15
UBN,Union Bank Nigeria,358118.0,6.75,0.15
UCAP,United Capital Plc,3417870.0,14.85,-0.05
UHOMREIT,Union Homes Real Estate Inv.,,36.6,
UNHOMES,Union Homes Savings & Loans,,3.02,
UNILEVER,Unilever Nigeria,826927.0,13.55,-0.25
UNIONDICON,Union Dicon Salt,,8.95,
UNITYBNK,Unity Bank,340506.0,0.55,0.01
UNIVINSURE,Universal Insurance Company,272705.0,0.2,0.0
UPDC,UPDC Plc,248144.0,1.03,-0.02
UPDCREIT,UPDC Real Estate Investment Trust,122659.0,3.35,0.0
UPL,University Press,5000.0,2.0,0.0
VANLEER,Greif Nigeria,,5.45,
VERITASKAP,Veritas Kapital Assurance Plc,975285.0,0.2,0.0
