Ticker,Name,Volume,Price,Change,Date
ABBEYBDS,Abbey Mortgage Bank Plc,529.0,1.68,0.0,2023-03-08
ABCTRANS,Associated Bus Company,2000.0,0.38,0.0,2023-03-08
ACADEMY,Academy Press,6025.0,1.27,0.0,2023-03-08
ACCESSCORP,Access Holdings Plc,1038921.0,9.2,0.05,2023-03-08
AFRINSURE,African Alliance Insurance,369090.0,0.2,,2023-03-08
AFRIPRUD,Africa Prudential Plc,78040.0,6.2,0.0,2023-03-08
AFROMEDIA,Afromedia Plc,369090.0,0.2,,2023-03-08
AIICO,Aiico Insurance Plc,369090.0,0.61,,2023-03-08
AIRTELAFRI,Airtel Africa Plc,801.0,1548.7,0.0,2023-03-08
ALEX,Aluminium Extrusion Industries,369090.0,6.5,,2023-03-08
ARBICO,Arbico Plc,369090.0,1.03,,2023-03-08
ARDOVA,Ardova Plc,295470.0,17.4,-1.15,2023-03-08
ASOSAVINGS,Aso Savings & Loans,369090.0,0.5,,2023-03-08
AUSTINLAZ,Austin Laz & Company,369090.0,2.03,,2023-03-08
BAPLC,Briclinks Africa Plc,369090.0,6.25,,2023-03-08
BERGER,Berger Paints,150.0,7.0,0.0,2023-03-08
BETAGLAS,Beta Glass Company,369090.0,39.6,,2023-03-08
BUACEMENT,BUA Cement Plc,2215.0,99.45,0.0,2023-03-08
BUAFOODS,BUA Foods,23491.0,95.0,0.0,2023-03-08
CADBURY,Cadbury Nigeria,25675.0,12.0,0.0,2023-03-08
CAP,CAP Plc,790.0,20.2,0.0,2023-03-08
CAPHOTEL,Capital Hotel Plc,369090.0,2.5,,2023-03-08
CAPOIL,Capital Oil Plc,369090.0,0.2,,2023-03-08
CAVERTON,Caverton Offshore Support Group,300000.0,1.14,0.0,2023-03-08
CHAMPION,Champion Breweries,655.0,4.87,0.0,2023-03-08
CHAMS,Chams Plc,20420.0,0.27,0.0,2023-03-08
CHELLARAM,Chellarams Plc,369090.0,1.81,,2023-03-08
CHIPLC,Consolidated Hallmark Insurance,369090.0,0.64,,2023-03-08
CILEASING,C&I Leasing Plc,369090.0,3.98,,2023-03-08
CONOIL,Conoil Plc,100.0,46.85,0.0,2023-03-08
CORNERST,Cornerstone Insurance Company,14850.0,0.63,0.0,2023-03-08
COURTVILLE,Courteville Business Solutions,369090.0,0.46,,2023-03-08
CUSTODIAN,Custodian & Allied Plc,5125.0,5.7,0.0,2023-03-08
CUTIX,Cutix Plc,246354.0,2.13,0.13,2023-03-08
CWG,Computer Warehouse Group,369090.0,0.91,,2023-03-08
DAARCOMM,Daar Communications,369090.0,0.2,,2023-03-08
DANGCEM,Dangote Cement,7061426.0,285.0,5.0,2023-03-08
DANGSUGAR,Dangote Sugar Refinery,573731.0,19.2,-0.05,2023-03-08
DEAPCAP,Deap Capital Management & Trust,275000.0,0.2,0.0,2023-03-08
DUNLOP,DN Tyre & Rubber Plc,369090.0,0.2,,2023-03-08
EKOCORP,Ekocorp Plc,369090.0,5.79,,2023-03-08
ELLAHLAKES,Ellah Lakes Plc,369090.0,3.96,,2023-03-08
ENAMELWA,Nigerian Enamelware Plc,500.0,16.2,0.0,2023-03-08
ETERNA,Eterna Plc,157229.0,7.2,0.0,2023-03-08
ETI,Ecobank Transnational Inc,1810.0,12.0,0.0,2023-03-08
ETRANZACT,E-Tranzact International,89.0,3.6,0.0,2023-03-08
EUNISELL,Eunisell Interlinked Plc,369090.0,2.91,,2023-03-08
FBNH,FBN Holdings Plc,1011087.0,11.2,0.0,2023-03-08
FCMB,FCMB Group Plc,215287.0,4.32,-0.13,2023-03-08
FIDELITYBK,Fidelity Bank Plc,545974.0,5.11,-0.09,2023-03-08
FIDSON,Fidson Healthcare,5805.0,9.84,0.0,2023-03-08
FLOURMILL,Flour Mills Nigeria,79493.0,32.95,0.0,2023-03-08
FTNCOCOA,FTN Cocoa Processors,142131.0,0.26,0.0,2023-03-08
GEREGU,Geregu Power Plc,1396.0,325.0,0.0,2023-03-08
GLAXOSMITH,Glaxo Smithkline Consumer,3755.0,6.7,0.0,2023-03-08
GOLDBREW,Golden Guinea Breweries,369090.0,0.81,,2023-03-08
GOLDINSURE,Goldlink Insurance,369090.0,0.2,,2023-03-08
GSPECPLC,Global Spectrum Energy Plc,369090.0,2.48,,2023-03-08
GTCO,Guaranty Trust Holding,2831170.0,26.3,0.1,2023-03-08
GUINEAINS,Guinea Insurance,205392.0,0.2,0.0,2023-03-08
GUINNESS,Guinness Nigeria,9994.0,69.0,0.0,2023-03-08
HONYFLOUR,Honeywell Flour Mill,64335.0,2.19,0.0,2023-03-08
IKEJAHOTEL,Ikeja Hotel Plc,369090.0,1.26,,2023-03-08
IMG,Industrial & Medical Gases,369090.0,8.05,,2023-03-08
INFINITY,Infinity Trust Mortgage Bank,369090.0,1.28,,2023-03-08
INTBREW,International Breweries,62436.0,4.85,0.0,2023-03-08
INTENEGINS,International Energy Insurance,2000.0,1.3,0.0,2023-03-08
JAIZBANK,Jaiz Bank Plc,132303.0,0.9,0.0,2023-03-08
JAPAULGOLD,Japaul Gold and Ventures Plc,1406826.0,0.28,0.0,2023-03-08
